knot_id,title,lifecycle_phase,obligation_source,status,owner,created_date,description,clause_refs,knu_refs,compliance_status,notes
KNOT-AAMUAM-LC02-0001,Mission class — two altitude strata,LC02,SC-VTOL § 2.1,APPROVED,ASIT,2026-03-19,Vehicle must operate across two altitude strata: ground-level vertiport operations (0–30 m) and U-space corridor cruise (150–300 m AGL),SC-VTOL § 2.1,,NOT_STARTED,
KNOT-AAMUAM-LC02-0002,Design range 30–150 km,LC02,Internal Governance,APPROVED,ASIT,2026-03-19,Design range envelope covers 30–80 km metro missions and up to 150 km regional missions including energy reserves,,,NOT_STARTED,Range drives battery sizing and charging network density
KNOT-AAMUAM-LC02-0003,Cruise performance 150–250 km/h TAS at 150–300 m AGL,LC02,Internal Governance,APPROVED,ASIT,2026-03-19,Sustained cruise at 150–250 km/h true airspeed at 150–300 m above ground level in U-space corridor under normal conditions,,,NOT_STARTED,Altitude band per EASA U-space UBL class
KNOT-AAMUAM-LC02-0004,VTOL noise constraint ≤80 dB(A) at vertiport boundary,LC02,Community acceptance + SC-VTOL noise,APPROVED,ASIT,2026-03-19,Noise level at vertiport boundary must not exceed 80 dB(A) during vertical take-off and landing to ensure community acceptance,SC-VTOL Noise § 5,,NOT_STARTED,Key community acceptance criterion
KNOT-AAMUAM-LC02-0005,Passenger and payload envelope,LC02,Internal Governance,APPROVED,ASIT,2026-03-19,Vehicle must accommodate single pilot or fully autonomous operation carrying 1–6 passengers with total payload 80–600 kg including baggage,,,NOT_STARTED,Pax count drives cabin layout and emergency egress
KNOT-AAMUAM-LC02-0006,MTOM range 700–3175 kg SC-VTOL compliant,LC02,SC-VTOL § 3.1,APPROVED,ASIT,2026-03-19,Maximum Take-Off Mass must fall within 700–3175 kg bracket as defined by EASA SC-VTOL applicability scope,SC-VTOL § 3.1,,NOT_STARTED,Upper limit corresponds to SC-VTOL Category Enhanced
KNOT-AAMUAM-LC02-0007,Energy reserves — 20 min VFR hold plus diversion,LC02,SC-VTOL + CS-VFR,APPROVED,ASIT,2026-03-19,Vehicle must carry energy reserves sufficient for 20-minute VFR holding pattern plus diversion to an alternate vertiport or landing site under current rules,SC-VTOL Energy Reserves,,NOT_STARTED,Reserve policy subject to regulatory evolution
KNOT-AAMUAM-LC02-0008,Dispatch target — 10 flights per vehicle per day,LC02,Business case,APPROVED,ASIT,2026-03-19,Operational target of minimum 10 revenue flights per vehicle per calendar day assuming 5–10 min turnaround at vertiport,,,NOT_STARTED,Drives battery cycle life and fast-charging requirements
KNOT-AAMUAM-LC02-0009,Weather minima VFR-IFR with SC-VTOL Cat 1a maturity path,LC02,SC-VTOL § 6,APPROVED,ASIT,2026-03-19,Initial operations under VFR minima evolving to IFR capability with SC-VTOL Cat 1a precision approach as fleet matures,SC-VTOL § 6,,NOT_STARTED,Cat 1a enables higher dispatch rate in low-visibility conditions
KNOT-AAMUAM-LC02-0010,Vertiport infrastructure footprint ≥1.5D FATO pad,LC02,EASA Vertiport Design Guidelines,APPROVED,ASIT,2026-03-19,Vertiport Final Approach and Take-Off area must have minimum diameter of 1.5 × D where D equals 10 times the outer rotor envelope of the vehicle,EASA Vertiport § 4.2,,NOT_STARTED,D = 10 × outer rotor envelope per EASA vertiport specification
